session_id,auction_tier,round,status,player_key,rank,bid,name_confidence,bid_confidence,is_self,is_imputed_zero
session_49cf44d925e41143,S,4,complete,player_cab9e78bb8bcc25a,3,3666667,0.937088,0.999019,false,false
session_49cf44d925e41143,S,4,complete,player_5e3730811248c908,4,539942,0.892777,0.994088,true,false
session_49cf44d925e41143,S,5,complete,player_80c480ff8bcd103d,1,4800000,0.652102,0.997734,false,false
session_49cf44d925e41143,S,5,complete,player_bf1e6b60b2c9db07,2,4500000,0.997823,0.996552,false,false
session_49cf44d925e41143,S,5,complete,player_cab9e78bb8bcc25a,3,4444444,0.937088,0.999641,false,false
session_49cf44d925e41143,S,5,complete,player_5e3730811248c908,4,539942,0.892777,0.99397,true,false
session_f4eac3ebd9e32690,S,1,complete,player_c9028e3c497c669a,1,3000000,0.999419,0.976614,false,false
session_f4eac3ebd9e32690,S,1,complete,player_5bfb2b68135c4a98,2,3000000,0.999396,0.996609,false,false
session_f4eac3ebd9e32690,S,1,complete,player_9bc7cb4f38c65b2b,3,1198964,0.965411,0.999246,false,false
session_f4eac3ebd9e32690,S,1,complete,player_5e3730811248c908,4,525142,0.892777,0.996783,true,false
session_f4eac3ebd9e32690,S,2,complete,player_9bc7cb4f38c65b2b,1,5516677,0.968285,0.999759,false,false
session_f4eac3ebd9e32690,S,2,complete,player_5bfb2b68135c4a98,2,3000000,0.999396,0.996609,false,false
session_f4eac3ebd9e32690,S,2,complete,player_5e3730811248c908,3,539542,0.955049,0.993005,true,false
session_f4eac3ebd9e32690,S,2,complete,player_c9028e3c497c669a,4,200000,0.999506,0.996709,false,false
session_50437c00cacd137d,S,1,complete,player_7701057d8e28d5df,1,5000000,0.986465,0.99711,false,false
session_50437c00cacd137d,S,1,complete,player_51ae490fcd02f9ac,2,4000000,0.970937,0.995648,false,false
session_50437c00cacd137d,S,1,complete,,3,3000000,0.0,0.998932,false,false
session_50437c00cacd137d,S,1,complete,player_5e3730811248c908,4,541947,0.892692,0.993802,true,false
session_50437c00cacd137d,S,2,complete,player_7701057d8e28d5df,1,5000000,0.986465,0.999343,false,false
session_50437c00cacd137d,S,2,complete,player_51ae490fcd02f9ac,2,5000000,0.970937,0.994987,false,false
session_50437c00cacd137d,S,2,complete,,3,3000000,0.0,0.998932,false,false
session_50437c00cacd137d,S,2,complete,player_5e3730811248c908,4,541947,0.892692,0.996759,true,false
session_50437c00cacd137d,S,3,complete,,1,7000000,0.0,0.997898,false,false
session_50437c00cacd137d,S,3,complete,player_51ae490fcd02f9ac,2,5500000,0.970937,0.994534,false,false
session_50437c00cacd137d,S,3,complete,player_7701057d8e28d5df,3,5000000,0.994376,0.998537,false,false
session_50437c00cacd137d,S,3,complete,player_5e3730811248c908,4,541947,0.892692,0.993387,true,false
session_50437c00cacd137d,S,4,complete,,1,7100000,0.0,0.998528,false,false
